,Primary Subject,Complaint Narrative,Scam Type,Other Subjects,Website
13,Bitcoin Bonus pro-btmining.site MineSlot.site RedParNet.site,"Two Californians fell victim to a scam run through the app “Bitcoin Bonus.” The first victim received an e-mail stating that she had signed up for a free Bitcoin mining site. The victim watched the account grow for about a year, and believed at one point, she had $32,000 waiting to be claimed. Then the victim received a message saying she had 24 hours to claim the money, or the account would be deleted. The victim attempted to follow the steps on the site to release the funds, but it asked her to provide a wallet address or cash card number and said there would be a $64.00 upfront fee to withdraw. The victim reported communicating through the online chat function of the app, with an account manager named “Amelia”. The second victim provided screenshots from his phone that showed him communicating though online chat. One shot showed the victim had BTC waiting for him in his account. Another screen shot showed his “payout” was $36,391.48 and that he needed to withdraw the money within 24 hours. It also instructed him to use an “express account” so as not to pay Federal Income Tax, which it claimed would be 15% of the profit. When the victim tried to withdraw, he was told his payout would be broken into two installments, and he would have to pay commissions. The screenshot also showed communications from what appeared to be other customers encouraging the victim to pay the commissions, explaining that after they did, they got their money released. But the second victim, despite paying commissions, did not receive any money.",Advance Fee Scam,Amelia,http://mineslots.site/
14,Bitcoin Mining svcoin.space my-minings.top,"A California victim recounts an email phishing scam related to a crypto asset website they used. The victim received an email from Google Sheets stating it had been almost a year since they had last been active on the “Bitcoin Mining” website and therefore, they were closing the victim's account. But, the email continued, if the victim wanted to claim their crypto assets from the account, they would need to cash out in the next 24 hours. The victim clicked on a link in the email, which took them to the Bitcoin Mining website where they were asked for personal information, an account number to transfer the crypto assets to, and a $64 fee. The victim complied, and paid the fee, then got an error message. The original link in the email was also no longer active. The victim has not been able to recover the $64 and feels vulnerable after disclosing personal information to a scam.",Identity Theft,,svcoin.space
15,Bitcoin Vest Cloud bitcoinvestcloud.com Cryptovestcloud,"A California victim filed a complaint with DFPI about the crypto asset exchange, bitcoinvestcloud.com. The victim was contacted by a customer service representative named “Mindy” through WhatsApp and was directed to invest funds in the exchange. He used crypto.com to send funds to a “Trust Wallet.” When he made attempts to withdraw his funds, he was requested to pay additional fees as prerequisites to the withdrawals.",Fraudulent Trading Platform,Mindy,https://bitcoinvestcloud.com/
16,Bitcoin-win.com,"A California victim reports their experience with a website called bitcoin-win.com. For about a month, the victim traded crypto assets on the website and was able to make both deposits and withdrawals of some funds. The victim increased their investment and placed larger trades. The victim shared emails from “Bitcoinwin” which showed what happened next:  Hello! After bitcoin-win exchange review, because of the first large withdrawal of coins from your personal account, the exchange in order to ensure the safety of the user's personal account funds, you need to complete the following three points within 7 working days: 1、Submit your personal handheld document selfie 2、Submit your personal bank statement for the past three months 3. You must pay a withdrawal deposit of $2221.2192 (15% of your total market value of $14,808.13), which will be deposited in your personal account assets (the withdrawal deposit paid belongs to you). After completion, bitcoin-win exchange will re-evaluate your personal account and complete the withdrawal request. Please be informed! Enjoy your life! Hello! After review by the exchange, you have completed the deposit of your personal account, the first level of assessment and audit has been passed, your personal account in this exchange to withdraw coins, withdrawal application is under review, according to the tax policy of the U.S. region and uniform fulfillment guidelines for all users, you need to pay 12% tax of the total market value of your personal account within 7 days to pay short-term capital gains tax, please contact the online service to get the payment address and complete the payment. After the payment is completed, the withdrawal request will be automatically reviewed and the withdrawal funds will be sent to your withdrawal wallet address, please be informed! Wish you a happy life! Hello! After our exchange review, your account now needs to pay a tax, you need to pay extra, the exchange is unable to deduct your tax through withdrawals, please pay the 12% short-term capital gains tax within the specified time, after successful payment send us proof of successful payment, after completion of your withdrawal will automatically pass, thank you for your cooperation! Have a nice life! After the exchange audit, you have completed the payment of your personal taxes, and the tax audit has passed. Due to the fact that your personal account has been operating transactions on the exchange for a long time and has never paid quarterly custody fees, your withdrawal of coins has not passed. It is being re-audited. According to the Exchange's requirements to the Financial Supervisory Authority, you need to pay a quarterly custody fee of 10% of the total liquidity of your personal account. After the payment is completed, the withdrawal request will be automatically reviewed, and the withdrawal funds will be automatically sent to your withdrawal wallet address. Please be informed! Enjoy your life! As a result of the exchange's review of your personal account, your personal account is suspected of money laundering, because the funds paid into your personal account have been transferred to your personal assets by a wallet address that does not match your identity verification for several times. The total amount of funds transferred to your personal assets is 1000 USDT, so that your personal account will be unfrozen, and the Exchange will review and complete the withdrawal for you! Have a nice life! Hello, you still have the last one not completed, please pay the corresponding deposit as required, it will be automatically audited after completion, and the withdrawal will automatically reach your withdrawal address after passing, thank you and wish you a happy life. Hello! We have received your funds, we will re-examine your account, after passing your withdrawal will be automatically passed and sent to your address, the results will be sent to you via email within 24 hours, please be informed! Have a nice life! Hello! We have detected that when we unfrozen your account last time, we did not unfreeze your account within 7 days as stipulated by the exchange, which has been seriously overdue. Now your account is still in the process of illegal operation, and you need to pay $800 overdue management fee to unfreeze your funds. Please note that! Wish you a happy life!",Fraudulent Trading Platform  Advance Fee Scam                       ,                         ,https://bitcoin-win.com/app/#/                         
17,Bitglobal Bit Global Options bitglobaloptn.com bitglobaloptions.com,"A Californian reports that he was contacted via direct message on Instagram by a stranger calling himself “Donald Henry,” who claimed to be a crypto investor. While the victim was initially wary of investing with someone he did not know, “Donald” spent months convincing the victim that he could mirror “Donald’s” trading success using the same AI software “Donald” did.",Pig Butchering Scam,Donald Henry,http://bitglobaloptions.com/
18,Bitstack Option,"The victim received a notification on Instagram that “Rembrandt Flores” was requesting to follow her. She thought the request was from somebody she knew. Rembrandt sent her a message saying hi and asking to talk about her day. At some point, Rembrandt asked to move the conversation over to WhatsApp, and there, mentioned cryptocurrency trading, telling the victim he could show her how to invest. He directed her to a website, bitstackoption.com. The victim told Rembrandt she didn’t know anything about cryptocurrency, so he directed her to the crypto.com app, and showed her how to open a wallet. He asked how much she had in the bank, which she indicated was not much. He said that was okay, and in fact, he would add $1,000 to whatever she wanted to invest, because that was not much money to him. She invested $2,000 and Rembrandt represented that he added $1,000, and he subsequently told the victim her account was worth more than $14,000. The victim told her mother, who invested $4,000 and was told her balance was more than $28,000. This is not to be confused with the company Bitstack which operates the website at www.bitstrack-app.com.  The victim subsequently told Rembrandt she and her mother wanted to withdraw their money from their accounts. But they were told by the website they would need to pay fees upfront, and they could not deduct the fees from the withdrawal amount. So, the victim went to a Bitcoin ATM and paid the fees of more than $8,000 for her and more than $5,500 for her mom. After hearing nothing, the victim’s mom messaged Rembrandt on WhatsApp. The real Rembrandt responded saying he had no idea what she was talking about. At that point, the victim realized someone was pretending to be her friend and that she had been scammed. The company operated the website at https://bitstackoption.com.  At some point, the victim told Rembrandt she and her mother wanted to withdraw their money from their Bitstack accounts. But they were told by Bitstack they would need to pay fees upfront, and they couldn’t deduct the fees from the withdrawal amount. So the victim went to a Bitcoin ATM and paid the fees, more than $8,000 for her, and more than $5,500 for he mom. After hearing nothing, the victim’s mom messaged Rembrandt on her own WhatsApp. The real Rembrandt responded saying he had no idea what she was talking about. At that point, the victim realized someone was pretending to be her friend and that she had been scammed.",Imposter Scam  Pig Butchering Scam  Fraudulent Trading Platform,    ,https://bitstackoption.com    
19,Bitstampnd.info (Impersonating Bitstamp),"The victim met “Mingyi,” who convinced her to invest in bitcoin, promising she would make money. Mingyi convinced the victim to transfer money from Cryptal.com to a fake platform at https://www.bitstampnd.info/#/. When the victim wanted to withdraw her money from the fake platform, she received a message saying her investment had grown to more than $300,000 but the tax department at the company said she needed to pay 35% income tax or more than $90,000 to withdraw the money, and the tax could not be deducted from the account assets. The company demanded that she complete the payment of the taxes within three business days after the notice, and that the victim must provide her social security number or personal tax identification number to complete the transaction. The victim said she lost all her savings to this scam. The company operated the website at https://bitstampnd.info/#/. This is not to be confused the website www.bitstamp.net.",Imposter Scam,,bitstampnd.info
20,Bityard bityardpro.com,"A California resident complaint about the websites https://www.bityardpro.com and www. bityardit.com which they used as a platform to trade crypto assets. After believing they had profited from successful trades through the website, the victim attempted to withdrawal their assets, which they thought was approximately $700,000. The victim then heard from the website that they needed to pay taxes first which amounted to 30% of the profits, or approximately $162,822. The website informed the victim that it would not allow the withdrawal until they paid. The company also stated that they are collecting taxes for the IRS, which is not true. The victim was unable to recover their assets and the website is no longer operational.",Fraudulent Trading Platform,,https:/www.bityardpro.com
21,CME Coin VIP cmecoinvip.com fileserverj.com,"A Californian claims to have lost more than $9,200 to scammers after responding to a text message from stranger named “Lilly” who then struck up a conversation. The conversation deepened and Lilly asked that they communicate on WhatsApp and then on the Telegram instant messaging platform, where she used the handle “@Lily666666.” Eventually, “Lilly” convinced the victim she was romantically interested, and also began to discuss investing in crypto assets. Lilly steered the victim to the website www.cmecoinvip.com and showed him how to transfer $9,4000 into stablecoin, which they would then transfer to website to trade “gold futures”, and later showed him that the trades had generated more than $3,000 in profit very quickly.",Pig Butchering Scam,Lilly,http://cmecoinvip.com/
22,Coin FTX (Entity Impersonating FTX),"The victim was communicating with “Mr. Colin Rusch” and “Ms. Anne” in a WhasApp group that claimed to be investors in the cryptocurrency Bitcoin and Ethereum. The group connected the victim to the website coinftx.io, which they claimed was an international crypto market. The group offered to show her an investing plan where they tell everyone when to buy crypto and when they had made money. After a while. “Ms. Anne” asked to increase the amount of capital she had invested to make even more money. After 2 or 3 months the victim had invested more than $50,000, and believed her account was worth approximately $200,000, but when she tried to withdraw her money she was unable to. The company operated the website at https://coinftx.io.",Pig Butchering Scam,"""Mr. Colin Rusch""",https://coinftx.io
23,Coin Pro X US coinproxus.com,"A California victim reports a crypto asset scam that began after one of the victim's friend’s Instagram accounts was hacked. Unaware of the hack, the victim saw on Instagram that their friend had made a lot of money from someone named “Adriana Montez” who claimed to be making lots of money by investing in crypto assets. Adriana reached out to the victim and asked them to contact her. Thinking this was someone that the victim's friend knew, the victim contacted Adriana, who explained that she made money by investing in crypto assets through a platform that generated 10 times the capital in profits, and that she could cash out every day. Adriana continued to send text message via Telegram and eventually convinced the victim to send $2,000 via Zelle. Next, Adriana instructed the victim how to register and open an account on www.coinproxyus.com. Adriana uploaded a screenshot of the $2,000 that was supposedly deposited there and showed the victim their profits were increasing on the platform. Adriana encouraged the victim to cash out $100, the daily limit, which really showed up in his bank account. Adriana said that proved the account was fluid, that the platform worked, and that the victim would be able to get their money back. Adriana told the victim his account was only at the “Basic” level, and that if the victim upgraded to the “Bronze” level they would have access to unlimited withdrawals, just like their friend had done. Still unaware of the hack, the victim contacted their friend on Instagram who confirmed the process and stated that the victim would be so happy with all that money and not worry about anything. The victim asked their friend to give him a call, but the victim's friend replied that they were busy. Soon after, the victim's “friend” contacted them on Instagram and said he got a new phone number. Soon, Adriana contacted the victim and told him to transfer $3,000 onto the platform to qualify for the “Bronze” level. But when they did that, Adriana said they misunderstood and it was supposed to be $5,000. The victim asked Adriana if they could start taking out some of their profits, but she encouraged the victim to wait until the profits reached $20,000. The victim decided to try to take some of the daily $100 withdrawals to reduce the victim's balance, but this time they were unsuccessful. The victim then asked Adriana why they couldn’t withdraw the daily limit, and she told them the pay outs would only disturb the trades, so they had to be patient and wait until they reached their goal of $20,000 to cash out. The next morning Adriana told the victim their account balance had reached $20,689 and they could now withdraw their funds. But when the victim tried to do so, they received an email from the platform saying they needed to file a trading certificate and provide personal information. The victim reached out to Adriana to ask how to get their money back without providing their personal information but she never responded. The victim later found out their friend’s Instagram account had been hacked and that it was a scam. The website is no longer operational.",Hacking,Adriana Montes/Adriana Montez,https://coinproxus.com/
24,Coin Trade Mining,"The victim, a new mom, saw a person on Tik Tok discussing passive income opportunities, and sent a message to her. The woman on Tik Tok messaged her back and they continued to communicate via WhatsApp. The woman on Tik Tok told her about a website called Cointrade Mining and sent the victim screenshots on how to open an account on the site. The woman on Tik Tok told the victim to download an App called Strike and deposit money on it by following a QR code. The victim did, but the app showed her balance was zero. The woman on Tik Tok told the victim to use Cash App instead, so the victim sent more money. Then the woman on Tik Tok gave the victim a Bitcoin address to send the money to, telling the victim to invest big and earn big money. But then the Bitcoin went to zero as well. So the woman on Tik Tok told her to go the nearest Bitcoin ATM and deposit money there, following the screenshots provided. The woman on Tik Tok then told the victim her that her investment on the Cointrade Mining website was worth more than $28,000. But when she tried to withdraw the money from the platform, an Account Manager named “Frank” told her she had to pay maintenance fees and taxes before she could withdraw her money. After that, more “Account Managers” told her she needed to deposit more money to get her money out. The company operated the website at https://www.cointrademining.com.    ",Pig Butchering Scam  Fraudulent Trading Platform  High Yield Investment Program,    ,https://cointrademining.com    
25,CoinList Ro (Entity Impersonating CoinList Pro),"The victim opened an account at what he believed was a legitimate crypto exchange platform, but instead dealt with a platform using a similar name, coinlistro.com. Victim believed he was day-trading on that platform and eventually the website showed he had a balance of more than $95,000. At that point, he asked to withdraw his funds through the customer service portal. He received a message saying he needed to pay a 10% withdrawal fee within 7 days. The victim sent approximately $9,000 to the platform. He then received an email thanking him for paying the fees, but that he now needed to pay capital gains taxes of 38% to the IRS, but they would agree to pay 8% of that. The victim went back and forth a few times about why he couldn’t pay the taxes to the IRS directly, and eventually decided not to pay the money. Then the company sent another email saying it withdrew its offer to pay 8% and that he needed to send the full 38% for taxes, plus another $4,000 late fee within 10 days, and that he needed to provide: a Photo ID; a Social Security or tax ID number; and his tax returns for last year or any previous year. The email went on to say that if the victim failed to pay taxes within 10 days, his account assets would be permanently frozen, and he would face penalties including criminal charges and that he could face five years in prison, and a fine of up to $250,000. The company operated the websites at https://m.coinlist.vip/home and https://m.coinlistro.com. This is not to be confused with the company CoinList Pro which operates a website at coinlist.co.",Fraudulent Trading Platform,,https://m.coinlist.vip/home
26,CoinMicro.org,"Two separate victims reported meeting a person on dating app “Coffee Meets Bagel,” who then asked to move the chat to WhatsApp, where the victims believed they were beginning a relationship. The scammer claimed to be rich and could teach each victim how to trade cryptocurrency. Both victims sent money to this person to purchase cryptocurrency and were told the money would be invested in CoinMicro. Victim #1 gave $30,000, and then continued to give money. At some point, victim #1 tried to withdraw the money, but was told they needed to pay a 15% tax upfront to withdraw the funds. Victim #2 invested more than $200,000 and only learned it was a scam from a friend. The company operated a website at https://www.coinmicro.org.  ",Liquidity Mining Scam  Pig Butchering Scam,Xue Li  ,CoinMicro.org  
27,CoinWpro,"The victim joined a digital exchange called Coinwpro.xyz and started investing, staking and mining there after the exchange promised he could make 2% daily. After the company represented his account was worth approximately $370,000 he requested a withdrawal. He was able to make several withdrawals of smaller amounts, but when he asked to withdraw more the company told him he needed to pay more than $100,000 for taxes, or he couldn’t withdraw any more. He didn’t pay, but tried to withdraw a smaller amount again and got no response. He sent the company a message on WhatsApp asking about his withdrawals and was told he needed to pay an electricity fee of more than $25,000 or he wouldn’t be able to withdraw any more money. The company operated a website at https://www.CoinWpro.xyz.  ",Fraudulent Trading Platform  Liquidity Mining Scam,  ,CoinWpro.xyz  
28,Coinbase.ii36vip (Entity impersonating Coinbase),"The victim met a person on WeChat who convinced her to invest in cryptocurrency mining. Victim followed scammer’s instructions to transfer $12,000 to a cryptocurrency exchange, and then to the site coinbase.iii36.vip to begin mining. Victim tried to withdraw money from her account but was told she needed to wait 24 hours. Soon after, she got notice that all her cryptocurrency had been transferred out of her crypto wallet. The company operated a website at",Pig Butchering Scam,,https://coinbase.ii36vip
29,Coindcx.win (Entity Impersonating CoinDCX),"The victim was involved in a scam where she lost $87,000.00. She began communicating with a group of “friends” through text message, who then connected her to a telegram group. Over the telegram group, the “friends” texted each other for almost a month just to have conversations about world events. At some point, one of the friends shifted the conversation to stock and market conditions. The friend showed the group her investments in crypto with screenshots and a website they could use to trade Bitcoin. She showed them how to set up an account at the website https://coindcx.win wherein they could create an account and learn how to trade without using real money. During this period, the “friend” told the victim she was making a consistent profit of 20% on her trial investments and encouraged her to put in real money. She was able to withdraw small amounts and began to put in more money, approximately $87,000 in total. When the website showed her account balance $299,000, the victim tried to withdraw the money. Instead, she was told that her account was frozen, and she would have to deposit the additional funds to unfreeze it and withdraw any money. The company operated the websites at https://coindcx.win. This is not to be confused with the website https://coindcx.com.",Pig Butchering Scam,,https://coindcx.win
30,Coinegg ceggcc.vip,"A California victim, a U.S. military veteran, met a “Mary” on the social media app WhatsApp who introduced the victim to an investment platform called “Coinegg” at a website called “ceggcc.vip."" Mary worked for weeks to build trust with the victim, inviting the victim to switch from conversing with her “business account” to her “private account.” Then, Mary invited the victim to join Mary’s “friends and family account” on a different social media app called Telegram. There, Mary persuaded the victim to invest with her through Coinegg. Mary presented Coinegg as a means of earning a stable income through investments.",Fraudulent Trading Platform,Mary/Bella,https://www.ceggcc.vip/
31,Coinrus.com (Entity impersonating Korean Crypto Exchange Coinone.co.kr),At least three Californians and one non-Californian report they lost money to scammers utilizing the website http://coinrus.com/. (continued from previous row),Pig Butchering Scam Pig Butchering Scam,Samanta Samanta,http://coinrus.com/ http://coinrus.com/
32,Coinworldage.com Coinworldlin.com (Entity Impersonating Coin World),"The victim opened an account on this website after being referred by a friend “Lisa.” She was subsequently contacted by “Roman” who, communicating through Line Chat, told the victim he was an expert in economics, and could teach her step by step how to make money. During the next few weeks Roman convinced her to put in as much money as she could, including borrowing money from friends or taking out a loan if necessary. Eventually, the victim invested her life savings of more than $500,000 - including her IRA and retirement- through the website. At one point, her account showed a balance of more than $1.2 million. But then the victim was unable to log in to her account. She received a message from customer service saying her account was frozen, and she needed to deposit 30% of her account balance (more than $380,000) into her account within 30 days or she would never be able to get her money back. The victim was then notified that her identify had been stolen, and her phone number and gmail account had been transferred to another individual. She heard from her bank that a person was trying to wire money out of her bank account into a cryptocurrency exchange. Eventually, the victim was able to recover her phone number and gmail account and log back into her account, but she was told her money was still frozen and she only had 20 days to deposit the $300,000 or she would lose her money. The company operated the websites at coinworldage.com and coinworldlin.com.",Pig Butchering Scam,Lisa Wang,Coinworldage.com
